name,formula,rt
PC 40a:7,C48H82N1O8P1,4.35
PC 40a:8,C48H80N1O8P1,4.37
PC 40a:10,C48H76N1O8P1,4.39
PC 42a:0,C50H100N1O8P1,4.25
PC 42a:1,C50H98N1O8P1,4.25
PC 42a:2,C50H96N1O8P1,4.27
PC 42a:3,C50H94N1O8P1,4.3
PC 42a:4,C50H92N1O8P1,4.29
PC 42a:5,C50H90N1O8P1,4.31
PC 42a:6,C50H88N1O8P1,4.32
PC 42a:7,C50H86N1O8P1,4.35
PC 42a:8,C50H84N1O8P1,4.36
PC 42a:9,C50H82N1O8P1,4.38
PC 42a:10,C50H80N1O8P1,4.39
PC 42a:11,C50H78N1O8P1,4.4
PC 44a:6,C52H92N1O8P1,4.32
PC 44a:7,C52H90N1O8P1,4.34
PC 44a:8,C52H88N1O8P1,4.37
PC 44a:10,C52H84N1O8P1,4.25
PC 44a:12,C52H80N1O8P1,4.43
PC 30e:0,C38H78N1O7P1,4.22
PC 32p:0,C40H80N1O7P1,4.26
PC 34p:0,C42H84N1O7P1,4.23
PC 36e:2,C44H86N1O7P1,4.24
PC 36p:1,C44H86N1O7P1,4.24
PC 36e:3,C44H84N1O7P1,4.25
PC 36p:2,C44H84N1O7P1,4.25
PC 36e:4,C44H82N1O7P1,4.25
PC 36p:3,C44H82N1O7P1,4.25
PC 36p:0,C44H88N1O7P1,4.22
PC 38e:0,C46H94N1O7P1,4.21
PC 38e:1,C46H92N1O7P1,4.23
PC 38p:0,C46H92N1O7P1,4.23
PC 38e:2,C46H90N1O7P1,4.23
PC 38p:1,C46H90N1O7P1,4.23
PC 38e:3,C46H88N1O7P1,4.24
PC 38p:2,C46H88N1O7P1,4.24
PC 38e:4,C46H86N1O7P1,4.25
PC 38p:3,C46H86N1O7P1,4.25
PC 40e:1,C48H96N1O7P1,4.22
PC 40p:0,C48H96N1O7P1,4.22
PC 40e:2,C48H94N1O7P1,4.23
PC 40p:1,C48H94N1O7P1,4.23
PC 40e:3,C48H92N1O7P1,4.25
PC 40p:2,C48H92N1O7P1,4.25
PC 40e:4,C48H90N1O7P1,4.25
PC 40p:3,C48H90N1O7P1,4.25
PC 42p:1,C50H98N1O7P1,4.23
PC 42p:2,C50H96N1O7P1,4.24
GlcCer(d18:1/12:0),C36H69N1O8,4.58
MHCer(d18:1/C20:0),C44H85N1O8,4.53
MHCer(d18:1/C22:0),C46H89N1O8,4.52
MHCer(d18:1/C22:1),C46H87N1O8,4.56
MHCer(d18:1/C24:1),C48H91N1O8,4.53
LPC 11a:0,C19H40N1O7P1,4.85
LPC 12a:0,C20H42N1O7P1,4.82
LPC 13a:0,C21H44N1O7P1,4.82
LPC 14a:0,C22H46N1O7P1,4.81
LPC 15a:0,C23H48N1O7P1,4.8
LPC 16e:0,C24H52N1O6P1,4.72
LPC 17a:0,C25H52N1O7P1,4.78
LPC 17a:1,C25H50N1O7P1,4.81
LPC 18p:1,C26H52N1O6P1,4.77
LPC 19a:0,C27H56N1O7P1,4.76
PE 24a:0,C29H58N1O8P1,5.47
PE 30a:0,C35H70N1O8P1,5.39
PE 36a:4,C41H74N1O8P1,5.45
PE 40a:8,C45H74N1O8P1,5.53
LacCer(d18:1/12:0),C42H79N1O13,5.54
LacCer (d18:1/C16:0),C46H87N1O13,5.5
LacCer (d18:1/C22:0),C52H99N1O13,5.46
LPE 13a:0,C18H38N1O7P1,6.1
PG 24a:0,C30H59O10P1,6.76
PG 36a:3,C42H76O10P1,6.72
PG 36a:4,C42H75O10P1,6.72
PG 36a:5,C42H72O10P1,6.72
PG 38a:5,C44H76O10P1,6.72
PG 38a:6,C44H74O10P1,6.72
PG 40a:4,C46H82O10P1,6.72
PG 40a:5,C46H80O10P1,6.72
PG 40a:6,C46H78O10P1,6.72
PG 40a:7,C46H76O10P1,6.72
PG 40a:8,C46H74O10P1,6.72
PG 40a:9,C46H72O10P1,6.72
PS 24a:0,C30H58N1O10P1,8.28
TG(17:0/17:1/17:0)D5,C54H97D5O6,1.07
"(1,2)-DG(12:0/12:0)",C27H52O5,2.19
PC(13:0/13:0),C34H68N1O8P1,4.36
SM(d18:1/12:0),C35H71N2O6P1,4.68
LPC 11:0,C19H40N1O7P1,4.93
PE(12:0/12:0),C29H58N1O8P1,5.21
LacCer(d18:1/12:0),C42H79N1O13,5.54
LPE 13:0,C18H38N1O7P1,6.21
